CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,crim_log,zn_log,dis_log,rad_log,medv_log,b_cube,age_cube,lstat_log,Transformed INDUS,Transformed NOX,Transformed PTRATIO,Transformed RM,Transformed TAX,Transformed age_cube,Transformed b_cube,Transformed crim_log,Transformed dis_log,Transformed lstat_log,Transformed medv_log,Transformed rad_log,Transformed zn_log,Imputed: Transformed INDUS,Imputed: Transformed age_cube,Imputed: Transformed b_cube,Imputed: Transformed crim_log,Imputed: Transformed dis_log,Imputed: Transformed lstat_log,Imputed: Transformed rad_log,Warnings,Cluster ID,Distance to Centroid
0.00632,18,2.31,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24,-5.064036071,2.944438979,1.40854497,0,3.17805383,7.34897945,4.024845358,1.605429891,-1.291376697,-0.1442913,-1.457357031,0.417005708,-0.667696216,0.058791302,0.361340101,-1.984815447,0.408876782,-1.278425205,0.354354513,-2.13449138,1.234144713,-1.291376697,0.058791302,0.361340101,-1.984815447,0.408876782,-1.278425205,-2.13449138,,1,7.211365636
0.02731,0,7.07,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6,-3.600502343,0,1.602836169,0.693147181,3.072693315,7.34897945,4.289029181,2.212660385,-0.597155227,-0.739865852,-0.30253578,0.197843429,-0.988280506,0.438673493,0.361340101,-1.307577188,0.768952031,-0.266894759,0.096558554,-1.342719226,-0.58551202,-0.597155227,0.438673493,0.361340101,-1.307577188,0.768952031,-0.266894759,-1.342719226,,3,5.553243974
0.02729,0,7.07,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,-3.601234944,0,1.602836169,0.693147181,3.546739687,7.323773125,3.9386471,1.393766376,-0.597155227,-0.739865852,-0.30253578,1.285116034,-0.988280506,-0.065157176,0.338135262,-1.307916193,0.768952031,-1.631016342,1.256454543,-1.342719226,-0.58551202,-0.597155227,-0.065157176,0.338135262,-1.307916193,0.768952031,-1.631016342,-1.342719226,,1,6.585398912
0.03237,0,2.18,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4,-3.430523211,0,1.802072771,1.098612289,3.5085559,7.334942255,3.577847504,1.078409581,-1.310336527,-0.83481252,0.11319987,1.01899041,-1.107015429,-0.583967673,0.348417517,-1.228920735,1.138192476,-2.156340748,1.163026507,-0.879562207,-0.58551202,-1.310336527,-0.583967673,0.348417517,-1.228920735,1.138192476,-2.156340748,-0.879562207,,1,6.230719036
0.06905,0,2.18,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2,-2.672924399,0,1.802072771,1.098612289,3.589059119,7.34897945,3.784423775,1.673351238,-1.310336527,-0.83481252,0.11319987,1.23103703,-1.107015429,-0.286922058,0.361340101,-0.878348083,1.138192476,-1.165281167,1.360001668,-0.879562207,-0.58551202,-1.310336527,-0.286922058,0.361340101,-0.878348083,1.138192476,-1.165281167,-0.879562207,,1,5.608076783
0.02985,0,2.18,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7,-3.511570439,0,1.802072771,1.098612289,3.356897123,7.331781122,3.886386902,1.650579856,-1.310336527,-0.83481252,0.11319987,0.210651614,-1.107015429,-0.140304542,0.345507391,-1.266424677,1.138192476,-1.203213956,0.791948027,-0.879562207,-0.58551202,-1.310336527,-0.140304542,0.345507391,-1.266424677,1.138192476,-1.203213956,-0.879562207,,1,5.896389274
0.08829,12.5,7.87,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9,-2.427128428,2.602689685,1.715688032,1.609437912,3.131136911,7.340947097,4.053449279,2.520112906,-0.480479349,-0.265132514,-1.503549881,-0.384217429,-0.578645024,0.09992221,0.35394555,-0.764608008,0.9780977,0.245262631,0.239558261,-0.296053371,1.022944411,-0.480479349,0.09992221,0.35394555,-0.764608008,0.9780977,0.245262631,-0.296053371,,3,5.171454834
0.14455,12.5,7.87,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1,-1.934129811,2.602689685,1.78347525,1.609437912,3.299533728,7.34897945,4.580446299,2.952302716,-0.480479349,-0.265132514,-1.503549881,-0.15651636,-0.578645024,0.857715702,0.361340101,-0.536476931,1.103726134,0.965208607,0.651591354,-0.296053371,1.022944411,-0.480479349,0.857715702,0.361340101,-0.536476931,1.103726134,0.965208607,-0.296053371,,3,7.0130588
0.21124,12.5,7.87,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,16.5,-1.554760351,2.602689685,1.805350031,1.609437912,2.803360381,7.285038476,4.641588834,3.398861322,-0.480479349,-0.265132514,-1.503549881,-0.9264306,-0.578645024,0.945635392,0.302476301,-0.360926817,1.144266145,1.709090264,-0.562444885,-0.296053371,1.022944411,-0.480479349,0.945635392,0.302476301,-0.360926817,1.144266145,1.709090264,-0.296053371,,3,8.120973802
0.17004,12.5,7.87,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9,-1.771721575,2.602689685,1.885871962,1.609437912,2.939161922,7.285540905,4.412293444,2.839078464,-0.480479349,-0.265132514,-1.503549881,-0.395602483,-0.578645024,0.615920902,0.302938836,-0.461323849,1.293495522,0.77659855,-0.230165868,-0.296053371,1.022944411,-0.480479349,0.615920902,0.302938836,-0.461323849,1.293495522,0.77659855,-0.296053371,,3,6.144679944
0.22489,12.5,7.87,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15,-1.492143885,2.602689685,1.847934993,1.609437912,2.708050201,7.321846111,4.551667867,3.017982882,-0.480479349,-0.265132514,-1.503549881,0.135225635,-0.578645024,0.816333857,0.33636126,-0.33195156,1.22318784,1.074619266,-0.795649698,-0.296053371,1.022944411,-0.480479349,0.816333857,0.33636126,-0.33195156,1.22318784,1.074619266,-0.296053371,,3,7.52865631
0.11747,12.5,7.87,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9,-2.141572297,2.602689685,1.828846497,1.609437912,2.939161922,7.34897945,4.360318132,2.585505848,-0.480479349,-0.265132514,-1.503549881,-0.388486824,-0.578645024,0.541183186,0.361340101,-0.632469245,1.187811586,0.354194829,-0.230165868,-0.296053371,1.022944411,-0.480479349,0.541183186,0.361340101,-0.632469245,1.187811586,0.354194829,-0.296053371,,3,5.764285574
0.09378,12.5,7.87,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,21.7,-2.366803665,2.602689685,1.695780733,1.609437912,3.077312261,7.309264524,3.391211443,2.754297452,-0.480479349,-0.265132514,-1.503549881,-0.559262626,-0.578645024,-0.852340333,0.324778703,-0.736693218,0.941203976,0.63536952,0.107860184,-0.296053371,1.022944411,-0.480479349,-0.852340333,0.324778703,-0.736693218,0.941203976,0.63536952,-0.296053371,,3,6.402528205
0.62976,0,8.14,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,20.4,-0.462416485,0,1.549156982,1.386294361,3.015534901,7.34897945,3.953631228,2.111424588,-0.441101241,-0.1442913,1.17563542,-0.473874725,-0.602392008,-0.043610802,0.361340101,0.14454637,0.669469672,-0.435534333,-0.043296572,-0.550947072,-0.58551202,-0.441101241,-0.043610802,0.361340101,0.14454637,0.669469672,-0.435534333,-0.550947072,,3,3.656106418
0.63796,0,8.14,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2,-0.449479694,0,1.495574684,1.386294361,2.901421594,7.243283514,4.388191478,2.32825284,-0.441101241,-0.1442913,1.17563542,-0.264674368,-0.602392008,0.581263565,0.264036854,0.150532764,0.570166878,-0.074339728,-0.322508849,-0.550947072,-0.58551202,-0.441101241,0.581263565,0.264036854,0.150532764,0.570166878,-0.074339728,-0.550947072,,3,3.666630862
