NOX,PTRATIO,RM,TAX,MEDV,ZN,INDUS,AGE,B,CRIM,DIS,LSTAT,RAD,CLUSTER_ID,DISTANCE_TO_CENTROID,DENSITY_FACTOR,ANOMALY_SCORE,IS_ANOMALY
-0.1442913,-1.457357031,0.417005708,-0.667696216,0.354354513,1.234144713,-1.291376697,0.058791302,0.361340101,-1.984815447,0.408876782,-1.278425205,-2.13449138,1,7.211365636,0.0070921985815602835,0.026371291459061415,True
-0.739865852,-0.30253578,0.197843429,-0.988280506,0.096558554,-0.58551202,-0.597155227,0.438673493,0.361340101,-1.307577188,0.768952031,-0.266894759,-1.342719226,3,5.553243974,0.005235602094240838,0.012762750447919628,False
-0.739865852,-0.30253578,1.285116034,-0.988280506,1.256454543,-0.58551202,-0.597155227,-0.065157176,0.338135262,-1.307916193,0.768952031,-1.631016342,-1.342719226,1,6.585398912,0.0070921985815602835,0.024082189539187848,False
-0.83481252,0.11319987,1.01899041,-1.107015429,1.163026507,-0.58551202,-1.310336527,-0.583967673,0.348417517,-1.228920735,1.138192476,-2.156340748,-0.879562207,1,6.230719036,0.0070921985815602835,0.022785158316978478,False
-0.83481252,0.11319987,1.23103703,-1.107015429,1.360001668,-0.58551202,-1.310336527,-0.286922058,0.361340101,-0.878348083,1.138192476,-1.165281167,-0.879562207,1,5.608076783,0.0070921985815602835,0.02050821367744728,False
-0.83481252,0.11319987,0.210651614,-1.107015429,0.791948027,-0.58551202,-1.310336527,-0.140304542,0.345507391,-1.266424677,1.138192476,-1.203213956,-0.879562207,1,5.896389274,0.0070921985815602835,0.021562545563420875,False
-0.265132514,-1.503549881,-0.384217429,-0.578645024,0.239558261,1.022944411,-0.480479349,0.09992221,0.35394555,-0.764608008,0.9780977,0.245262631,-0.296053371,3,5.171454834,0.005235602094240838,0.01188530304233841,False
-0.265132514,-1.503549881,-0.15651636,-0.578645024,0.651591354,1.022944411,-0.480479349,0.857715702,0.361340101,-0.536476931,1.103726134,0.965208607,-0.296053371,3,7.0130588,0.005235602094240838,0.01611777183931568,False
-0.265132514,-1.503549881,-0.9264306,-0.578645024,-0.562444885,1.022944411,-0.480479349,0.945635392,0.302476301,-0.360926817,1.144266145,1.709090264,-0.296053371,3,8.120973802,0.005235602094240838,0.01866403898591239,False
-0.265132514,-1.503549881,-0.395602483,-0.578645024,-0.230165868,1.022944411,-0.480479349,0.615920902,0.302938836,-0.461323849,1.293495522,0.77659855,-0.296053371,3,6.144679944,0.005235602094240838,0.014122018963110796,False
-0.265132514,-1.503549881,0.135225635,-0.578645024,-0.795649698,1.022944411,-0.480479349,0.816333857,0.33636126,-0.33195156,1.22318784,1.074619266,-0.296053371,3,7.52865631,0.005235602094240838,0.017302744511596607,False
-0.265132514,-1.503549881,-0.388486824,-0.578645024,-0.230165868,1.022944411,-0.480479349,0.541183186,0.361340101,-0.632469245,1.187811586,0.354194829,-0.296053371,3,5.764285574,0.005235602094240838,0.01324777708956195,False
-0.265132514,-1.503549881,-0.559262626,-0.578645024,0.107860184,1.022944411,-0.480479349,-0.852340333,0.324778703,-0.736693218,0.941203976,0.63536952,-0.296053371,3,6.402528205,0.005235602094240838,0.014714619076482485,False
-0.1442913,1.17563542,-0.473874725,-0.602392008,-0.043296572,-0.58551202,-0.441101241,-0.043610802,0.361340101,0.14454637,0.669469672,-0.435534333,-0.550947072,3,3.656106418,0.005235602094240838,0.008402651502876564,False
-0.1442913,1.17563542,-0.264674368,-0.602392008,-0.322508849,-0.58551202,-0.441101241,0.581263565,0.264036854,0.150532764,0.570166878,-0.074339728,-0.550947072,3,3.666630862,0.005235602094240838,0.008426839320484433,False
-0.1442913,1.17563542,-0.637534869,-0.602392008,-0.104014292,-0.58551202,-0.441101241,-0.211010903,0.354059435,0.142801631,0.585348088,-0.393712646,-0.550947072,3,3.912915705,0.005235602094240838,0.008992863792852423,False
-0.1442913,1.17563542,-0.493798569,-0.602392008,0.260834904,-0.58551202,-0.441101241,-1.295712059,0.303748118,0.382831808,0.585348088,-0.814322537,-0.550947072,3,5.658239035,0.005235602094240838,0.013004055488375446,False
-0.1442913,1.17563542,-0.415526326,-0.602392008,-0.418474034,-0.58551202,-0.441101241,0.510783174,0.303170079,0.246037356,0.483436141,0.521273449,-0.550947072,3,3.904212065,0.005235602094240838,0.008972860640491638,False
-0.1442913,1.17563542,-1.175478645,-0.602392008,-0.067403157,-0.58551202,-0.441101241,-0.954493676,-0.317660783,0.256832851,0.270871868,0.14301668,-0.550947072,3,4.947757917,0.005235602094240838,0.011371191301343973,False
-0.1442913,1.17563542,-0.789809959,-0.602392008,-0.322508849,-0.58551202,-0.441101241,0.183323075,0.327362427,0.210225954,0.270871868,0.083543061,-0.550947072,3,3.365816312,0.005235602094240838,0.007735491875508439,False
-0.1442913,1.17563542,-1.013241633,-0.602392008,-1.035388021,-0.58551202,-0.441101241,0.903093892,0.243796653,0.46244584,0.271555157,1.120414845,-0.550947072,3,6.131454017,0.005235602094240838,0.014091622458557114,False
-0.1442913,1.17563542,-0.451104618,-0.602392008,-0.141181568,-0.58551202,-0.441101241,0.696149007,0.3364185,0.28443076,0.373330339,0.423049902,-0.550947072,3,3.7111762,0.005235602094240838,0.008529215703581235,False
-0.1442913,1.17563542,-0.19921031,-0.602392008,-0.763241296,-0.58551202,-0.441101241,0.755619898,0.361340101,0.455248243,0.356906566,0.927377662,-0.550947072,3,5.013708243,0.005235602094240838,0.011522761726961464,False
-0.1442913,1.17563542,-0.667420634,-0.602392008,-0.878599966,-0.58551202,-0.441101241,0.945635392,0.347904147,0.353140679,0.411231529,1.027529023,-0.550947072,3,5.636972876,0.005235602094240838,0.012955180509791123,False
-0.1442913,1.17563542,-0.509453017,-0.602392008,-0.699684512,-0.58551202,-0.441101241,0.811703467,0.346705982,0.225563679,0.544107857,0.696784018,-0.550947072,3,4.839514037,0.005235602094240838,0.01112241965824264,False
